id,name,type
55532,감보아,pitcher
63543,구승민,pitcher
65522,김강현,pitcher
76430,김상수,pitcher
62528,김원중,pitcher
51516,김진욱,pitcher
55566,김태현,pitcher
67539,나균안,pitcher
64021,박세웅,pitcher
55568,박세현,pitcher
60559,박시영,pitcher
54503,박준우,pitcher
69594,박진,pitcher
63512,박진형,pitcher
55526,벨라스케즈,pitcher
51594,송재영,pitcher
67588,윤성빈,pitcher
52530,이민석,pitcher
68242,정철원,pitcher
54537,정현수,pitcher
50556,최준용,pitcher
62363,한현희,pitcher
50596,홍민기,pitcher
55563,박재엽,hitter
51526,손성빈,hitter
61102,유강남,hitter
68518,정보근,hitter
69517,고승민,hitter
77564,김민성,hitter
51551,나승엽,hitter
62931,노진혁,hitter
62802,박승욱,hitter
55530,박찬형,hitter
50150,손호영,hitter
69508,신윤후,hitter
52591,윤동희,hitter
54598,이호준,hitter
68205,전민재,hitter
78513,전준우,hitter
60523,정훈,hitter
62884,최항,hitter
52568,한태양,hitter
52504,김동혁,hitter
54529,레이예스,hitter
68507,장두성,hitter
52516,조세진,hitter
55506,한승현,hitter
50500,황성빈,hitter